이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전TAB_COMMENTS	TAB_COMMENTS_수정	이전COLUMN_NAME	환경부표준	이전COL_COMMENTS	COL_COMMENTS수정	DATA_TYPE	DATA_TYPE_수정	DATA_LENGTH	DATA_LENGTH_수정	NULLABLE	도메인논리명	도메인그룹명
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_BAC	CLBCL	대장균(mL)	대장균	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_FESTR	FCFS	분원성대장균군(mL)	분원성대장균군	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_BRANFUNGUS	FCSTRCCI	분원성연쇄상구균(mL)	분원성연쇄상구균	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_GRGUNGUS	PAERGNS	녹농균(mL)	녹농균	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_SALMOL	SLMN	살모넬라(mL)	살모넬라	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_SEGEL	SHIGLA	쉬겔라(mL)	쉬겔라	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_SULFUNGUS	SFSRA	아황산환원혐기성포자형성균(mL)	아황산환원혐기성포자형성균	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_YERSINIA	YERSNA	여시니아균(mL)	여시니아균	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_PB	PMBM	납(mg/ℓ)	납	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_F	FLRN	불소(g/ℓ)	불소	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_GAS	ASNC	비소(mg/ℓ)	비소	VARCHAR2	VARCHAR2	25	20	Y	값_V20	수량
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_SE	SE	셀레늄(mg/ℓ)	셀레늄	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
